date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2021-12-20,14,7,8,489013.220586925,0.5,3038147.0985420276
2021-12-27,14,7,9,931588.9685832899,0.5,3140737.709741607
2022-01-03,14,7,8,491245.77987598785,0.5,3133874.7305129673
2022-01-10,14,7,8,569016.2673818313,0.5,2970973.664514157
2022-01-17,14,7,9,915233.6026569022,0.5,3054612.198240126
2022-01-24,14,7,10,1043445.5362343332,0.5,2624220.247055407
2022-01-31,14,7,7,61824.35112719295,0.5,2634637.334531473
2022-02-07,14,7,9,814522.8222897989,0.5,2759295.1350807967
2022-02-14,14,7,8,438964.2024970858,0.5,2745421.8319090623
2022-02-21,15,7,7,60123.452525471715,0.5,2646422.2191530224
2022-02-28,15,7,8,369801.56384700275,0.5,2615286.852871915
2022-03-07,15,7,8,372258.6723359147,0.5,2582913.831461721
2022-03-14,15,7,8,378953.45733218774,0.5,2576638.5491533014
2022-03-21,15,7,8,462039.9168878802,0.5,2742678.688854574
2022-03-28,15,7,9,870055.8110367428,0.5,2899054.040809946
2022-04-04,15,7,9,696501.3961044875,0.5,3011524.329717253
2022-04-11,15,7,9,623111.8279852702,0.5,2769245.8675354435
2022-04-18,15,7,9,739356.871189377,0.5,2680792.3900799155
2022-04-25,15,7,9,714723.5134495506,0.5,2642936.642620285
2022-05-02,15,7,10,1020618.5399763508,0.5,2581572.069890432
2022-05-09,15,7,8,376687.1437956256,0.5,2492957.666275067
2022-05-16,15,7,9,630464.2432103219,0.5,2285472.545796783
2022-05-23,15,7,8,310037.47777600726,0.5,2226588.1436173245
2022-05-30,15,7,9,621287.5787493454,0.5,2145571.558536909
2022-06-06,15,7,9,593215.608765022,0.5,2149822.963020454
2022-06-13,15,7,9,564124.8016389372,0.5,1972733.614428676
2022-06-20,15,7,9,486150.17642259155,0.5,1900385.7748787943
2022-06-27,15,7,8,338139.38280911767,0.5,1997353.5937501527
2022-07-04,15,7,7,51583.54764106729,0.5,1909121.9846344243
2022-07-11,15,7,9,571881.8375010086,0.5,1962083.3996561696
2022-07-18,15,7,10,838688.1044673075,0.5,2000504.7263219755
2022-07-25,15,7,9,621728.4553755715,0.5,2083978.47692499
2022-08-01,15,7,9,475109.3266330236,0.5,2135134.479136923
2022-08-08,15,7,9,322598.24661780416,0.5,2175408.6798405126
2022-08-15,15,7,9,341454.935673772,0.5,2211331.9457386285
2022-08-22,15,7,9,462791.492687202,0.5,2020814.8498644517
2022-08-29,15,7,10,779114.6449657715,0.5,1929066.067178641
2022-09-05,15,7,9,567875.2606454609,0.5,1977545.489043771
2022-09-12,15,7,10,855050.9638894277,0.5,2025491.7435522296
2022-09-19,15,7,8,291871.9551039304,0.5,1911451.380427608
2022-09-26,15,7,9,570962.9588000926,0.5,1959158.8529279863
2022-10-03,15,7,9,545769.2395822017,0.5,1927538.2978529746
2022-10-10,15,7,8,331101.8975631641,0.5,2014719.5471608734
2022-10-17,15,7,9,547702.9741348583,0.5,1963537.1056559654
2022-10-24,15,7,9,565491.4259697384,0.5,1989230.7641056096
2022-10-31,15,7,9,607428.1983320706,0.5,2017614.1806554168
2022-11-07,15,7,9,549314.5296400776,0.5,2008463.6871309963
2022-11-14,15,7,9,487821.1595456222,0.5,1812588.5420828494
2022-11-21,15,7,7,50184.415028917436,0.5,1790539.8910449313
2022-11-28,15,7,9,557444.4694824786,0.5,1862388.583122942
2022-12-05,15,7,9,531377.4655847573,0.5,1886788.0399145475
2022-12-12,15,7,9,505212.42864068516,0.5,1838075.2913665627
2022-12-19,15,7,10,695308.9886879605,0.5,1755508.0737866298
2022-12-26,15,7,9,491638.19545479276,0.5,1763020.4046444597
