,equity
2024-10-27,247431.7919078022
2024-10-28,254799.4210163044
2024-10-29,263969.8142277422
2024-10-30,259526.5475573438
2024-10-31,251020.14620320481
2024-11-01,249140.7510061403
2024-11-02,248131.75319663956
2024-11-03,241588.4216311793
2024-11-04,238601.70144758836
2024-11-05,246984.26385443594
2024-11-06,275822.8981390731
2024-11-07,275304.5238377139
2024-11-08,278668.3956400772
2024-11-09,287620.6071852612
2024-11-10,309087.17404783797
2024-11-11,328731.3294530648
2024-11-12,317594.6254024388
2024-11-13,316966.7369685478
2024-11-14,299902.31356563634
2024-11-15,311651.43052224786
2024-11-16,316276.6583917592
2024-11-17,311563.1569244392
2024-11-18,322066.96958535444
2024-11-19,319573.1525840161
2024-11-20,316729.43592722475
2024-11-21,338485.9466215184
2024-11-22,364478.863514126
2024-11-23,378928.3667622652
2024-11-24,382397.6908612645
2024-11-25,372315.47565793
2024-11-26,368705.51437607803
2024-11-27,387172.29481612553
2024-11-28,384528.59969756444
2024-11-29,404283.44473937375
2024-11-30,415282.1713018896
2024-12-01,431785.989439924
2024-12-02,467350.3722582376
2024-12-03,467466.37594057596
2024-12-04,483605.9148221787
2024-12-05,487381.6246732996
2024-12-06,524301.9812816905
2024-12-07,528970.5887504767
2024-12-08,528334.5942012335
2024-12-09,451779.60745077825
2024-12-10,450712.04735495616
2024-12-11,478956.0820058277
2024-12-12,498565.7656856507
2024-12-13,499103.2984923777
2024-12-14,482839.63576632267
2024-12-15,492863.0944223299
2024-12-16,485366.0413621672
2024-12-17,474325.5389630591
2024-12-18,433464.84616844036
2024-12-19,400240.9415387391
2024-12-20,415109.38226217334
2024-12-21,395721.8703175813
2024-12-22,397559.0729974516
2024-12-23,424076.65479004174
2024-12-24,430877.73740729835
2024-12-25,423693.39549006836
2024-12-26,399647.9969949146
2024-12-27,393397.33562887134
2024-12-28,403279.6118925779
2024-12-29,388768.97597362555
2024-12-30,385381.90592575
2024-12-31,380795.71337201505
